Month,Number of Teslas Owned,Operational Miles Remaining,Total Money Earned,Cash
1.0,1.0,992500.0,2315.6249999999995,-36684.375
2.0,1.0,985000.0,4631.249999999999,-34368.75
3.0,1.0,977500.0,6946.874999999998,-32053.125
4.0,1.0,970000.0,9262.499999999998,-29737.5
5.0,1.0,962500.0,11578.124999999998,-27421.875
6.0,1.0,955000.0,13893.749999999998,-25106.25
7.0,1.0,947500.0,16209.374999999998,-22790.625
8.0,1.0,940000.0,18524.999999999996,-20475.0
9.0,1.0,932500.0,20840.624999999996,-18159.375
10.0,1.0,925000.0,23156.249999999996,-15843.75
11.0,1.0,917500.0,25471.874999999996,-13528.125
12.0,1.0,910000.0,27787.499999999996,-11212.5
13.0,1.0,902500.0,29987.343749999996,-9012.65625
14.0,1.0,895000.0,32187.187499999996,-6812.8125
15.0,1.0,887500.0,34387.03125,-4612.96875
16.0,1.0,880000.0,36586.875,-2413.125
17.0,1.0,872500.0,38786.71875,-213.28125
18.0,1.0,865000.0,40986.5625,1986.5625
19.0,1.0,857500.0,43186.40625,4186.40625
20.0,1.0,850000.0,45386.25,6386.25
21.0,1.0,842500.0,47586.09375,8586.09375
22.0,1.0,835000.0,49785.9375,10785.9375
23.0,1.0,827500.0,51985.78125,12985.78125
24.0,1.0,820000.0,54185.625,15185.625
25.0,1.0,812500.0,56275.4765625,17275.4765625
26.0,1.0,805000.0,58365.328125,19365.328125
27.0,1.0,797500.0,60455.1796875,21455.1796875
28.0,1.0,790000.0,62545.03125,23545.03125
29.0,1.0,782500.0,64634.8828125,25634.8828125
30.0,1.0,775000.0,66724.734375,27724.734375
31.0,1.0,767500.0,68814.5859375,29814.5859375
32.0,1.0,760000.0,70904.4375,31904.4375
33.0,1.0,752500.0,72994.2890625,33994.2890625
34.0,1.0,745000.0,75084.140625,36084.140625
35.0,1.0,737500.0,77173.9921875,38173.9921875
36.0,1.0,730000.0,79263.84375,40263.84375
37.0,1.0,722500.0,81249.202734375,42249.202734375
38.0,2.0,1715000.0,83234.56171874999,339.71812874999887
39.0,2.0,1700000.0,87205.27968749999,4310.436097499998
40.0,2.0,1685000.0,91175.99765625,8281.154066249997
41.0,2.0,1670000.0,95146.715625,12251.872034999997
42.0,2.0,1655000.0,99117.43359375,16222.590003749996
43.0,2.0,1640000.0,103088.1515625,20193.307972499995
44.0,2.0,1625000.0,107058.86953125,24164.025941249995
45.0,2.0,1610000.0,111029.58750000001,28134.743909999994
46.0,2.0,1595000.0,115000.30546875001,32105.461878749993
47.0,2.0,1580000.0,118971.02343750001,36076.179847499996
48.0,2.0,1565000.0,122941.74140625002,40046.89781625
49.0,2.0,1550000.0,126713.92347656252,43819.0798865625
50.0,3.0,2535000.0,130486.10554687501,2379.573059174989
51.0,3.0,2512500.0,136144.37865234376,8037.846164643737
52.0,3.0,2490000.0,141802.6517578125,13696.119270112486
53.0,3.0,2467500.0,147460.92486328125,19354.392375581236
54.0,3.0,2445000.0,153119.19796875,25012.665481049982
55.0,3.0,2422500.0,158777.47107421875,30670.93858651873
56.0,3.0,2400000.0,164435.7441796875,36329.211691987475
57.0,3.0,2377500.0,170094.01728515624,41987.48479745622
58.0,4.0,3355000.0,175752.29039062498,2434.069005224963
59.0,4.0,3325000.0,183296.65453124998,9978.433145849962
60.0,4.0,3295000.0,190841.01867187498,17522.79728647496
61.0,4.0,3265000.0,198008.16460546872,24689.943220068708
62.0,4.0,3235000.0,205175.31053906246,31857.089153662455
63.0,4.0,3205000.0,212342.4564726562,39024.2350872562
64.0,4.0,3175000.0,219509.60240624993,46191.38102084995
65.0,5.0,4145000.0,226676.74833984367,6790.48738981269
66.0,5.0,4107500.0,235635.68075683585,15749.419806804875
67.0,5.0,4070000.0,244594.61317382802,24708.35222379706
68.0,5.0,4032500.0,253553.5455908202,33667.28464078925
